"2-5hi9QLPJw"; "likes"; "1.344"; "2012-11-27 03:07:12"
"2-5hi9QLPJw"; "likes"; "4.48"; "2012-11-28 15:50:24"
"2-5hi9QLPJw"; "likes"; "5.824"; "2012-11-30 04:33:36"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-01 17:16:48"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-03 06:00:00"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-04 18:43:12"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-06 07:26:24"
"2-5hi9QLPJw"; "likes"; "1.344"; "2012-12-07 20:09:36"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-09 08:52:48"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-10 21:36:00"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-12 10:19:12"
"2-5hi9QLPJw"; "likes"; "0.896"; "2012-12-13 23:02:24"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-15 11:45:36"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-17 00:28:48"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-18 13:12:00"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-20 01:55:12"
"2-5hi9QLPJw"; "likes"; "2.688"; "2012-12-21 14:38:24"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-23 03:21:36"
"2-5hi9QLPJw"; "likes"; "3.136"; "2012-12-24 16:04:48"
"2-5hi9QLPJw"; "likes"; "1.792"; "2012-12-26 04:48:00"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-27 17:31:12"
"2-5hi9QLPJw"; "likes"; "1.792"; "2012-12-29 06:14:24"
"2-5hi9QLPJw"; "likes"; "0.0"; "2012-12-30 18:57:36"
"2-5hi9QLPJw"; "likes"; "0.0"; "2013-01-01 07:40:48"
"2-5hi9QLPJw"; "likes"; "0.0"; "2013-01-02 20:24:00"
"2-5hi9QLPJw"; "likes"; "3.136"; "2013-01-04 09:07:12"
